X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-76.966539780123256,38.924055606025853,918,M,"BLADENSBURG RD AND 30TH ST, NE",4076,610,610,2, ,335,12-F02K,335,2,"PR(01,02)",12,100-T02,"PR(51,52)",50-D02A,"PR(36,37)",25-F02G,"PR(11,12)",19, ,1,ACTUATED, , ,26-C,638
-76.961738317475721,38.927985966336799,919,M,BLADENSBURG RD AND EARL PL & BANNEK,4077,611,611,2, ,335,12-F02K,336,1,"PR(03,04)",12,100-T02,"PR(53,54)",50-D02A,"PR(38,39)",25-F02G,"PR(13,14)",20, ,1,ACTUATED, , ,1504-A,639
-76.957758129697396,38.930756669588014,920,M,"BLADENSBURG RD AND EASTERN AV, NE",4078,612,612,2, ,335,12-F02K,336,2,"PR(03,04)",12,100-T02,"PR(53,54)",50-D02A,"PR(38,39)",25-F02G,"PR(13,14)",20, ,1,INTERVAL, , ,252-E,640
-76.975069967329389,38.914135963003481,921,M,BLADENSBURG RD AND MONTANA AV & S S,4079,613,613,2, ,335,12-F07M,356,5,"PR(03,04)",12,100-T07,"PR(63,64)", , , , ,26, ,0,INTERVAL, , ,251-G,641
-76.982913662458458,38.900829214064814,922,M,"BLADENSBURG RD AND MORSE ST, NE",4080,614,614,2, ,337,12-F07M,355,1,"PR(01,02)",12,100-T07,"PR(61,62)", , , , ,25, ,0,INTERVAL, , ,1414,642
-76.981698964972779,38.902685526506616,923,M,"BLADENSBURG RD AND OATES ST & K ST,",4081,615,615,2, ,337,12-F07M,355,2,"PR(01,02)",12,100-T07,"PR(61,62)", , , , ,25, ,0,ACTUATED, , ,1149,643
-76.971479297535254,38.918541397227401,924,M,BLADENSBURG RD AND QUEENS CHAPEL RD,4082,616,616,2, ,335,12-F02K,335,3,"PR(01,02)",12,100-T02,"PR(51,52)",50-D02A,"PR(36,37)",25-F02G,"PR(11,12)",19, ,2,INTERVAL, , ,556-D,644
-76.965164181527754,38.925176208494584,925,M,"BLADENSBURG RD AND S.DAKOTA  AVE ,",4083,617,617,2, ,335,12-F02K,337,1,"PR(05,06)",12,100-T02,"PR(55,56)",50-D02A,"PR(40,41)",25-F02G,"PR(15,16)",21, ,3,INTERVAL, , ,297-J,645
-77.016303891058371,38.972353012122795,926,M,"BLAIR RD AND ASPEN ST,NW",4084,877,877,3, ,571,12-F14I,543,1,"PR(07,08)",12,100-T14,"PR(59,60)",50-D14K,"PR(09,10)", , ,17, ,0,INTERVAL, , , ,1075
-77.014961984284611,38.969930065407965,927,M,"BLAIR RD AND VAN BUREN ST,NW",4085,878,878,3, ,571,12-F14I,543,2,"PR(07,08)",12,100-T14,"PR(59,60)",50-D14K,"PR(09,10)", , ,17, ,0,INTERVAL, , , ,1076
-76.99376620843114,38.917240421857066,928,M,"BRENTWOOD RD AND 9TH ST AND V ST, N",4086,618,618,2, ,335,12-F01M,309,2,"PR(01,02)",12,100-T01,"PR(36,37)",50-D01,"PR(03,04)", , ,14, ,1,INTERVAL, , ,542-F,646
-76.988580762979012,38.922050090129801,929,M,"BRENTWOOD RD AND SARATOGA AVE, NE",4087,619,619,2, ,334,12-F01M,309,3,"PR(01,02)",12,100-T01,"PR(36,37)",50-D01,"PR(03,04)", , ,14, ,1,INTERVAL, , , ,647
-76.991383200080179,38.91927873853755,930,M,"BRENTWOOD RD AND W ST, NE",4088,620,620,2, ,335,12-F01M,309,4,"PR(01,02)",12,100-T01,"PR(36,37)",50-D01,"PR(03,04)", , ,14, ,0,INTERVAL, , ,1341-D,648
-77.047341993523872,38.923256190385196,931,M,"CALVERT ST AND BILTMORE ST, NW",4089,1283,0,0, ,694,12-F13D,625,5,"PR(05,06)",11,100-T13,"PR(13,14)", , ,25-F13A,"PR(13,14)",7, ,2,INTERVAL, , , ,1342
-77.054436323866881,38.923373785459269,932,M,"CALVERT ST AND SHOREHAM HOTEL, NW",4090,1177,1177,5, ,687,12-F11A,601,3,"PR(01,02)",12,025-T11,"PR(03,04)", , , , ,2, ,2,ACTUATED, , , ,1235
